Year,Country,Code,ContinentCode,GDP per capita constant dollars,Capital investment billion USD,Labor force million people,education,GDP billion USD,Capital stock billion USD,Capital stock per capita,ln_gdp_per_capita,ln_capital_per_capita,ln_education,predicted,residuals,predicted_gdp_per_capita,gdp_growth_rate,predicted_growth_rate,capital_contribution,human_capital_contribution,ptf_contribution
2009,Belgium,BEL,EU,39025.22,106.83,4.8,19.16604,187321.056,1017.385882027216,211955.39208900332,10.57196338277966,12.264131116839364,2.9531399629485064,10.582194655623354,-0.010231272843693517,39426.54721686326,-2.8059230147552294,0.9329598695526631,0.8574992711363224,0.07113540853774386,-3.774675954092875
2010,Belgium,BEL,EU,39777.93,107.84,4.89,19.21768,194514.0777,1064.1827291055831,217624.27998069185,10.591067514854938,12.290525368532872,2.955830688660144,10.588510739421036,0.002556775433902203,39676.356671193345,1.9287783643500367,0.6336072315843877,0.5042373723598664,0.1273710074082845,1.2788048277595883
2011,Belgium,BEL,EU,39929.09,129.06,4.88,19.04888,194853.9592,1129.391765359248,231432.7388031246,10.59486040991528,12.35204456516512,2.947008307193436,10.59608714896499,-0.0012267390497111563,39978.10263062983,0.38000971895721936,0.7605183155729778,1.1752664337577494,-0.4176254793621646,-0.37835144836146545
2012,Belgium,BEL,EU,39975.57,117.57,4.91,19.1601,196280.0487,1179.198259437693,240162.57829688245,10.596023796512318,12.389071382556171,2.952829991735775,10.605916587939783,-0.009892791427464687,40373.002593782396,0.11640635937357757,0.9877906583040552,0.7073625471528094,0.2755813503263639,-0.8666052377752882
2013,Belgium,BEL,EU,39970.32,119.02,4.96,19.35096,198252.7872,1227.4663638714312,247473.0572321434,10.595892457677826,12.419056995397131,2.9627420306482373,10.616337123900212,-0.020444666222386942,40795.91055608392,-0.013133020992572852,1.0475018827721616,0.5728469517946075,0.46920664424838926,-1.0551874794922533
2014,Belgium,BEL,EU,40421.42,125.13,4.98,19.70777,201298.6716,1278.9483820391451,256816.9441845673,10.607115121463735,12.456118830648355,2.981012974225957,10.632066364213147,-0.024951242749411406,41442.672439042406,1.128587411859594,1.5853595964461897,0.7080315304603896,0.8648925008330218,-0.45065765270242547
2015,Belgium,BEL,EU,41008.3,107.53,4.99,19.79196,204631.417,1309.7414791167964,262473.24230797525,10.62152976422282,12.47790442175333,2.9852757946294965,10.63824618991031,-0.016716425687489433,41699.57391672334,1.451903470981497,0.6198960215676452,0.41619324319698014,0.20178932651925313,0.8234817061923108
2016,Belgium,BEL,EU,41318.02,114.69,5.0,19.65691,206590.1,1345.8469903697887,269169.39807395777,10.629054003401992,12.50309619300254,2.978428930443534,10.639817737781236,-0.010763734379244383,41765.15831434274,0.7552617396965777,0.15727833994270135,0.48126511360488783,-0.32411032651223287,0.5952691308244228
2017,Belgium,BEL,EU,41825.76,121.88,5.08,19.76102,212474.8608,1386.9761709476015,273026.805304646,10.641267696640323,12.517325257276084,2.983711310420683,10.645036589432864,-0.003768892792541223,41983.6942370617,1.2288584980596928,0.5232493579317099,0.2718328999717985,0.2500522651910536,0.6994841586703138
2018,Belgium,BEL,EU,42382.32,138.65,5.14,19.56149,217845.1248,1442.4076006907455,280624.0468269933,10.654486573127167,12.544771140865292,2.973562837574557,10.645475880263561,0.009010692863606451,42002.14134050385,1.3306632085107406,0.0439387333043717,0.5243278113666067,-0.48039872829694535,1.2779585656147552
2019,Belgium,BEL,EU,43098.48,132.44,5.19,19.56839,223681.11120000004,1488.3031446493007,286763.6116857998,10.671243008648604,12.566413502690814,2.9739155092449803,10.649777394439486,0.0214656142091183,42183.203287983415,1.6897612023126785,0.4310778967475226,0.41345698242495865,0.01669443516738931,1.2454921345513206
2020,Belgium,BEL,EU,40636.8,127.49,5.17,19.27527,210092.256,1526.4949559703427,295260.14622250345,10.612429338994714,12.595612098320982,2.958822927133386,10.648211129144268,-0.03578179014955474,42117.184915271646,-5.7117559598389605,-0.15650393418694675,0.5578117276488426,-0.7144382571703771,-5.724740435867499
2021,Belgium,BEL,EU,43273.64,146.29,5.26,18.94574,227619.3464,1581.195258612122,300607.4636144719,10.67529895262972,12.613560585049568,2.9415791041458355,10.643477302387875,0.031821650241845134,41918.28061909436,6.488798330577206,-0.47226398577546735,0.3428889703315033,-0.8162716459707857,6.760344039139969
2022,Belgium,BEL,EU,44198.2,159.85,5.37,18.99603,237344.334,1646.1735430953945,306550.00802521314,10.696439343254646,12.633136179369966,2.944230009965477,10.64847189621788,0.047967447036766586,42128.16912242826,2.136543170391958,0.5007087605551686,0.3739733316602515,0.12548605133992424,1.6145796794923475
2023,Belgium,BEL,EU,44283.21,163.32,5.42,18.99603,240014.9982,1710.723130509671,315631.5738947732,10.69836087742,12.662330906976315,2.944230009965477,10.65404927454477,0.04431160287523106,42363.790323341265,0.19233814951740147,0.559296085781158,0.5577378326890763,0.0,-0.3655844161535864
